place,month,month.name,period,period.name,temp
Lund,4,april,2,1961-1990,6
Lund,5,maj,2,1961-1990,11.5
Lund,6,juni,2,1961-1990,15.4
Lund,7,juli,2,1961-1990,16.8
Lund,8,augusti,2,1961-1990,16.5
Lund,9,september,2,1961-1990,13.1
Visby,4,april,2,1961-1990,4
Visby,5,maj,2,1961-1990,9.1
Visby,6,juni,2,1961-1990,14
Visby,7,juli,2,1961-1990,16
Visby,8,augusti,2,1961-1990,15.6
Visby,9,september,2,1961-1990,11.8
Stockholm,4,april,2,1961-1990,4.6
Stockholm,5,maj,2,1961-1990,10.5
Stockholm,6,juni,2,1961-1990,15.4
Stockholm,7,juli,2,1961-1990,17.2
Stockholm,8,augusti,2,1961-1990,16.3
Stockholm,9,september,2,1961-1990,12
Umeå,4,april,2,1961-1990,1.2
Umeå,5,maj,2,1961-1990,7.3
Umeå,6,juni,2,1961-1990,13
Umeå,7,juli,2,1961-1990,15.2
Umeå,8,augusti,2,1961-1990,13.5
Umeå,9,september,2,1961-1990,8.7
Östersund,4,april,2,1961-1990,1
Östersund,5,maj,2,1961-1990,7.2
Östersund,6,juni,2,1961-1990,11.8
Östersund,7,juli,2,1961-1990,13.4
Östersund,8,augusti,2,1961-1990,12.3
Östersund,9,september,2,1961-1990,8
Abisko,4,april,2,1961-1990,-2.8
Abisko,5,maj,2,1961-1990,3.1
Abisko,6,juni,2,1961-1990,8.4
Abisko,7,juli,2,1961-1990,11
Abisko,8,augusti,2,1961-1990,10.3
Abisko,9,september,2,1961-1990,5.2
Göteborg,4,april,2,1961-1990,5.8
Göteborg,5,maj,2,1961-1990,11.6
Göteborg,6,juni,2,1961-1990,15.6
Göteborg,7,juli,2,1961-1990,17
Göteborg,8,augusti,2,1961-1990,16.2
Göteborg,9,september,2,1961-1990,12.7
Örebro,4,april,2,1961-1990,4.3
Örebro,5,maj,2,1961-1990,10.4
Örebro,6,juni,2,1961-1990,14.8
Örebro,7,juli,2,1961-1990,16
Örebro,8,augusti,2,1961-1990,14.8
Örebro,9,september,2,1961-1990,10.6